topic,subtopic,subtopicClean,average
Core Frontend.Semantic HTML,Semantic HTML,Semantic HTML,4
Core Frontend.CSS,CSS,CSS,3.9
Core Frontend.JavaScript,JavaScript,JavaScript,4.033333333
Core Frontend.TypeScript,TypeScript,TypeScript,3.7
Core Frontend.Git,Git,Git,3.7
Advanced Frontend.  Accessibility,Accessibility,Accessibility,2.766666667
Advanced Frontend.Responsive UI,Responsive UI,Responsive UI,3.5
"Advanced Frontend.Data structures - Arrays, objects, stacks, queues etc�","Data structures - Arrays, objects, stacks, queues etc�",Data structures,3.466666667
"Advanced Frontend.Algorithms - Sorting, searching, graph algorithms etc","Algorithms - Sorting, searching, graph algorithms etc",Algorithms,2.9
Advanced Frontend.State Management,State Management,State Management,3.166666667
CSS.  SASS,SASS,SASS,3.166666667
"CSS.CSS-in-JS (eg. Styled components, Emotion-js)","CSS-in-JS (eg. Styled components, Emotion-js)",CSS-in-JS,3.5
CSS.Block Element Modifier (BEM),Block Element Modifier (BEM),Block Element Modifier (BEM),2.6
CSS.Objected Oriented CSS (OOCSS),Objected Oriented CSS (OOCSS),Objected Oriented CSS (OOCSS),2.066666667
CSS.Tailwind CSS,Tailwind CSS,Tailwind CSS,2.233333333
Javascript Frameworks and Libraries.  React,React,React,3.833333333
Javascript Frameworks and Libraries.Next.js,Next.js,Next.js,2.866666667
Javascript Frameworks and Libraries.Vue,Vue,Vue,1.533333333
Javascript Frameworks and Libraries.AngularJS,AngularJS,AngularJS,1.4
Javascript Frameworks and Libraries.Angular,Angular,Angular,1.333333333
Testing.  Jest,Jest,Jest,2.966666667
Testing.React Testing Library,React Testing Library,React Testing Library,2.633333333
Testing.Cross-browser testing (eg. Browserstack),Cross-browser testing (eg. Browserstack),Cross-browser testing,2.233333333
Testing.End to end testing (eg. Cypress),End to end testing (eg. Cypress),End to end testing,1.833333333
Build tools�.  Webpack,Webpack,Webpack,2.533333333
Build tools�.Rollup,Rollup,Rollup,1.566666667
Build tools�.Esbuild,Esbuild,Esbuild,1.6
Build tools�.Web assembly,Web assembly,Web assembly,1.3
Build tools�.Bun,Bun,Bun,1.233333333
Data and Integration.  GraphQL,GraphQL,GraphQL,2.933333333
Data and Integration.Apollo,Apollo,Apollo,2.6
Data and Integration.Rest API,Rest API,Rest API,3.233333333
Data and Integration.Web sockets,Web sockets,Web sockets,2
CMS.  AEM,AEM,AEM,1.5
CMS.Sitecore,Sitecore,Sitecore,2.333333333
CMS.Contentful,Contentful,Contentful,1.766666667
CMS.DatoCMS,DatoCMS,DatoCMS,1.433333333
"Other

.Design - Wireframes, theming, design tools eg. Figma, Adobe, UX ","Design - Wireframes, theming, design tools eg. Figma, Adobe, UX",Design ,3.066666667
"Other

. Visualisation - D3, ThreeJS, Canvas  ","Visualisation - D3, ThreeJS, Canvas",Visualisation ,2.133333333
"Other

. Analytics - GA4, Google Tag Manager, Pixel Tracking, Exact target ","Analytics - GA4, Google Tag Manager, Pixel Tracking, Exact target",Analytics,2.066666667
"Other

. DevOps - Deployments, CI/CD, Automation  ","DevOps - Deployments, CI/CD, Automation",DevOps,2.266666667
"Other

. Security - Authentication, CSPs, caching, cookies, privacy, CORS  ","Security - Authentication, CSPs, caching, cookies, privacy, CORS",Security,2.333333333
"Other

. Performance - WebPageTest, Lighthouse, LazyLoad  ","Performance - WebPageTest, Lighthouse, LazyLoad",Performance,2.366666667
"Other

.Architecture -Monorepo, Mico FEs, PWAs, i18n, l10n","Architecture -Monorepo, Mico FEs, PWAs, i18n, l10n",Architecture,2.233333333
"Other

.FE methods -� prefetching, lazy load, resumability","FE methods -� prefetching, lazy load, resumability",FE methods,2.433333333
"Other

.Monitoring and Error logging - AppInsights, Dynatrace etc","Monitoring and Error logging - AppInsights, Dynatrace etc",Monitoring and Error logging,2.033333333
